Conc,Age,Molting,Survival
0,0_4,133.3333333,100
0,0_4,88.88888889,100
0,0_4,88.88888889,100
0,0_4,88.88888889,100
0.5,0_4,44.44444444,100
0.5,0_4,88.88888889,100
0.5,0_4,133.3333333,100
0.5,0_4,44.44444444,100
1,0_4,0,100
1,0_4,88.88888889,100
1,0_4,0,100
1,0_4,44.44444444,100
2,0_4,133.3333333,100
2,0_4,88.88888889,100
2,0_4,0,100
2,0_4,133.3333333,100
4,0_4,44.44444444,80
4,0_4,44.44444444,80
4,0_4,88.88888889,80
4,0_4,44.44444444,80
8,0_4,0,20
8,0_4,0,80
8,0_4,0,40
8,0_4,0,60
12,0_4,0,60
12,0_4,0,40
12,0_4,0,40
12,0_4,0,60
0,4_8,94.11764706,100
0,4_8,117.6470588,100
0,4_8,70.58823529,100
0,4_8,117.6470588,100
0.5,4_8,94.11764706,100
0.5,4_8,94.11764706,100
0.5,4_8,117.6470588,100
0.5,4_8,117.6470588,100
1,4_8,117.6470588,100
1,4_8,94.11764706,100
1,4_8,117.6470588,100
1,4_8,117.6470588,100
2,4_8,117.6470588,100
2,4_8,94.11764706,100
2,4_8,117.6470588,100
2,4_8,117.6470588,100
4,4_8,94.11764706,80
4,4_8,94.11764706,100
4,4_8,94.11764706,100
4,4_8,70.58823529,80
8,4_8,0,20
8,4_8,70.58823529,0
8,4_8,0,0
8,4_8,47.05882353,20
12,4_8,0,20
12,4_8,0,20
12,4_8,0,0
12,4_8,0,0
0,8_12,111.1111111,100
0,8_12,111.1111111,100
0,8_12,66.66666667,100
0,8_12,111.1111111,100
0.5,8_12,88.88888889,100
0.5,8_12,111.1111111,100
0.5,8_12,88.88888889,100
0.5,8_12,111.1111111,100
1,8_12,111.1111111,100
1,8_12,88.88888889,100
1,8_12,111.1111111,100
1,8_12,88.88888889,100
2,8_12,111.1111111,100
2,8_12,111.1111111,100
2,8_12,111.1111111,100
2,8_12,111.1111111,100
4,8_12,88.88888889,100
4,8_12,66.66666667,100
4,8_12,88.88888889,100
4,8_12,111.1111111,100
8,8_12,88.88888889,40
8,8_12,66.66666667,0
8,8_12,22.22222222,0
8,8_12,44.44444444,40
12,8_12,22.22222222,20
12,8_12,0,20
12,8_12,0,0
12,8_12,0,0
0,0_12,100,100
0,0_12,100,100
0,0_12,100,100
0,0_12,100,100
0.5,0_12,80,100
0.5,0_12,80,100
0.5,0_12,80,100
0.5,0_12,60,100
1,0_12,100,100
1,0_12,100,100
1,0_12,60,100
1,0_12,60,100
2,0_12,80,100
2,0_12,100,100
2,0_12,80,100
2,0_12,100,100
4,0_12,100,100
4,0_12,100,80
4,0_12,40,80
4,0_12,100,100
8,0_12,20,40
8,0_12,0,40
8,0_12,0,40
8,0_12,40,0
12,0_12,20,40
12,0_12,20,40
12,0_12,20,60
12,0_12,0,0
0,0_24,84.21052632,100
0,0_24,105.2631579,100
0,0_24,105.2631579,100
0,0_24,105.2631579,100
0.5,0_24,84.21052632,100
0.5,0_24,84.21052632,100
0.5,0_24,84.21052632,100
0.5,0_24,105.2631579,100
1,0_24,105.2631579,100
1,0_24,105.2631579,100
1,0_24,105.2631579,100
1,0_24,105.2631579,100
2,0_24,105.2631579,100
2,0_24,105.2631579,100
2,0_24,105.2631579,100
2,0_24,105.2631579,100
4,0_24,105.2631579,100
4,0_24,105.2631579,80
4,0_24,105.2631579,100
4,0_24,105.2631579,100
8,0_24,105.2631579,80
8,0_24,84.21052632,80
8,0_24,63.15789474,40
8,0_24,63.15789474,80
12,0_24,84.21052632,60
12,0_24,84.21052632,80
12,0_24,84.21052632,80
12,0_24,84.21052632,80
