Conc,Surv
0.5,100
0.5,100
0.5,100
0.5,100
1,100
1,100
1,100
1,100
2,100
2,100
2,100
2,80
4,100
4,60
4,100
4,40
8,20
8,0
8,20
8,0
12,20
12,0
12,0
12,0
