Conc,Surv
0.5,80
0.5,100
0.5,100
0.5,100
1,100
1,100
1,100
1,80
2,100
2,100
2,40
2,80
4,0
4,0
4,60
4,40
8,0
8,0
8,0
8,0
12,0
12,0
12,0
12,0
