Conc,Surv
0.5,80
0.5,100
0.5,80
0.5,80
1,100
1,80
1,80
1,80
2,100
2,100
2,100
2,100
4,40
4,60
4,40
4,60
8,0
8,0
8,0
8,0
12,0
12,0
12,0
12,0
