Conc,Surv
0.5,80
0.5,100
0.5,100
0.5,100
1,100
1,100
1,100
1,100
2,100
2,100
2,100
2,100
4,100
4,100
4,80
4,100
8,80
8,60
8,20
8,40
12,20
12,0
12,0
12,0
