Conc,Surv
0.5,100
0.5,100
0.5,100
0.5,100
1,100
1,100
1,100
1,100
2,100
2,100
2,100
2,100
4,100
4,80
4,100
4,100
8,60
8,80
8,40
8,60
12,60
12,80
12,60
12,80
,
,
,
,
